------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Name                                  Self CPU total %  Self CPU total   CPU total %      CPU total        CPU time avg     CUDA total %     CUDA total       CUDA time avg    Number of Calls  Input Shapes                                   
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
stride                                0.00%            2.633us          0.00%            2.633us          2.633us          0.00%            2.049us          2.049us          1                []                                             
resize_                               0.02%            13.019us         0.02%            13.019us         13.019us         0.01%            13.314us         13.314us         1                []                                             
resize_                               0.01%            4.264us          0.01%            4.264us          4.264us          0.00%            4.098us          4.098us          1                []                                             
squeeze                               0.04%            33.615us         0.05%            37.413us         37.413us         0.02%            36.861us         36.861us         1                []                                             
as_strided                            0.00%            3.798us          0.00%            3.798us          3.798us          0.00%            4.098us          4.098us          1                []                                             
squeeze                               0.02%            14.454us         0.02%            17.654us         17.654us         0.01%            18.367us         18.367us         1                []                                             
as_strided                            0.00%            3.200us          0.00%            3.200us          3.200us          0.00%            3.070us          3.070us          1                []                                             
squeeze                               0.05%            37.321us         0.05%            40.909us         40.909us         0.02%            39.932us         39.932us         1                []                                             
as_strided                            0.00%            3.588us          0.00%            3.588us          3.588us          0.00%            3.070us          3.070us          1                []                                             
tanh                                  0.07%            57.696us         0.13%            108.753us        108.753us        0.06%            107.521us        107.521us        1                []                                             
empty                                 0.01%            5.220us          0.01%            5.220us          5.220us          0.00%            5.119us          5.119us          1                []                                             
tanh_out                              0.05%            39.356us         0.06%            45.837us         45.837us         0.03%            46.977us         46.977us         1                []                                             
resize_                               0.01%            6.481us          0.01%            6.481us          6.481us          0.00%            6.146us          6.146us          1                []                                             
t                                     0.04%            31.040us         0.05%            43.218us         43.218us         0.02%            42.945us         42.945us         1                []                                             
transpose                             0.01%            7.854us          0.01%            12.178us         12.178us         0.01%            12.287us         12.287us         1                []                                             
as_strided                            0.01%            4.324us          0.01%            4.324us          4.324us          0.00%            4.098us          4.098us          1                []                                             
addmm                                 0.49%            403.738us        0.54%            443.559us        443.559us        0.25%            443.395us        443.395us        1                []                                             
empty                                 0.01%            5.433us          0.01%            5.433us          5.433us          0.00%            5.121us          5.121us          1                []                                             
size                                  0.00%            3.150us          0.00%            3.150us          3.150us          0.00%            3.074us          3.074us          1                []                                             
size                                  0.00%            2.678us          0.00%            2.678us          2.678us          0.00%            2.051us          2.051us          1                []                                             
expand                                0.01%            8.187us          0.02%            12.411us         12.411us         0.01%            12.289us         12.289us         1                []                                             
as_strided                            0.01%            4.224us          0.01%            4.224us          4.224us          0.00%            4.098us          4.098us          1                []                                             
resize_                               0.01%            6.696us          0.01%            6.696us          6.696us          0.00%            7.168us          7.168us          1                []                                             
stride                                0.01%            4.094us          0.01%            4.094us          4.094us          0.00%            2.047us          2.047us          1                []                                             
stride                                0.00%            2.728us          0.00%            2.728us          2.728us          0.00%            3.074us          3.074us          1                []                                             
stride                                0.00%            2.631us          0.00%            2.631us          2.631us          0.00%            3.008us          3.008us          1                []                                             
t                                     0.03%            28.293us         0.05%            40.015us         40.015us         0.02%            38.910us         38.910us         1                []                                             
------------------------------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------  ---------------------------------------------  
Self CPU time total: 81.678ms
CUDA time total: 179.502ms
